mode	lag	classifier	mean_accuracy	mean_f1	mean_precision	mean_recall	stdev_accuracy	stdev_f1	stdev_precision	stdev_recall
auto	l8	GradientBoosting	0.78542	0.77435	0.81447	0.68981	0.08428	0.06096	0.14677	0.09169
auto	l8	NeuralNetwork	0.82156	0.72853	0.94368	0.70489	0.03200	0.02895	0.05705	0.04528
auto	l8	randomForest	0.84925	0.76967	0.94868	0.75635	0.03060	0.03910	0.06846	0.04399
cross	l1	svm-rbf	0.82848	0.75422	0.92342	0.72685	0.05202	0.03388	0.09582	0.07055
cross	l1	sgd	0.67336	0.43810	1.00000	0.62698	0.35507	0.37726	0.00000	0.19449
cross	l1	nearestCentroid	0.72528	0.87466	0.63842	0.66852	0.12792	0.10703	0.16808	0.11662
cross	l1	adaboost	0.82763	0.79444	0.86763	0.74153	0.05382	0.04093	0.08949	0.07456
cross	l1	BernoulliNaiveBayes	0.75743	0.83766	0.71632	0.68294	0.10117	0.09625	0.16470	0.10523
cross	l1	DecisionTree	0.75925	0.76959	0.75500	0.66058	0.03998	0.06225	0.07061	0.05939
cross	l1	GradientBoosting	0.81457	0.77289	0.86789	0.71931	0.06612	0.04570	0.11667	0.08999
cross	l1	NeuralNetwork	0.80143	0.75170	0.86789	0.69405	0.05312	0.04383	0.11100	0.06546
cross	l1	randomForest	0.81232	0.76910	0.89763	0.73108	0.05419	0.03905	0.09247	0.08127
cross	l2	svm-rbf	0.83071	0.72162	0.97921	0.71217	0.02814	0.02735	0.03656	0.04197
cross	l2	sgd	0.50637	0.50741	0.80000	0.59894	0.43589	0.35052	0.42164	0.21181
cross	l2	nearestCentroid	0.69797	0.84155	0.60237	0.62778	0.07668	0.08647	0.09042	0.08117
cross	l2	adaboost	0.78472	0.77616	0.80053	0.68624	0.07030	0.06794	0.10259	0.09144
cross	l2	BernoulliNaiveBayes	0.78260	0.78474	0.79237	0.69828	0.12472	0.07212	0.17762	0.13999
cross	l2	DecisionTree	0.75030	0.76565	0.73579	0.67619	0.10472	0.07901	0.14705	0.12325
cross	l2	GradientBoosting	0.80893	0.78320	0.84632	0.71601	0.06720	0.06036	0.11049	0.08496
cross	l2	NeuralNetwork	0.80948	0.73481	0.90316	0.69405	0.04596	0.04442	0.06570	0.06775
cross	l2	randomForest	0.80110	0.76063	0.89237	0.70873	0.07351	0.03680	0.08692	0.11549
cross	l3	svm-rbf	0.83388	0.73361	0.96895	0.72315	0.03480	0.02585	0.07046	0.04418
cross	l3	sgd	0.75597	0.50370	0.50000	0.63439	0.26591	0.34796	0.52705	0.18888
cross	l3	nearestCentroid	0.65914	0.88157	0.53895	0.60939	0.09860	0.10397	0.11850	0.08368
cross	l3	adaboost	0.77499	0.77416	0.78000	0.67540	0.06214	0.06173	0.08619	0.07696
cross	l3	BernoulliNaiveBayes	0.71775	0.76690	0.68184	0.62024	0.09305	0.08910	0.11994	0.10748
cross	l3	DecisionTree	0.78935	0.78826	0.79026	0.69048	0.05386	0.05960	0.05357	0.06232
cross	l3	GradientBoosting	0.78234	0.77455	0.79579	0.68598	0.07463	0.04472	0.11657	0.09040
cross	l3	NeuralNetwork	0.81416	0.72481	0.93500	0.69365	0.02614	0.02323	0.08515	0.03110
cross	l3	randomForest	0.82993	0.75779	0.89816	0.71984	0.04236	0.03459	0.06408	0.05353
cross	l4	svm-rbf	0.84957	0.77097	0.94974	0.75648	0.02735	0.04188	0.05271	0.04661
cross	l4	sgd	0.58575	0.64921	0.80000	0.58624	0.40436	0.22879	0.42164	0.21789
cross	l4	nearestCentroid	0.71849	0.86978	0.61658	0.65304	0.06770	0.09198	0.07606	0.07881
cross	l4	adaboost	0.79528	0.77514	0.82605	0.70119	0.07808	0.04656	0.13088	0.08590
cross	l4	BernoulliNaiveBayes	0.75275	0.80467	0.71447	0.66402	0.07371	0.07892	0.09764	0.09039
cross	l4	DecisionTree	0.75022	0.75089	0.75395	0.65661	0.09116	0.06848	0.11616	0.09947
cross	l4	GradientBoosting	0.80988	0.79455	0.83184	0.71958	0.05983	0.06907	0.08707	0.08212
cross	l4	NeuralNetwork	0.83148	0.76532	0.91289	0.73413	0.03644	0.03402	0.06507	0.04962
cross	l4	randomForest	0.82461	0.77351	0.92395	0.73796	0.03069	0.04553	0.05895	0.03705
cross	l5	svm-rbf	0.83167	0.73465	0.96000	0.71944	0.02747	0.02577	0.05164	0.04409
cross	l5	sgd	0.58648	0.57884	0.70000	0.67513	0.40484	0.30552	0.48305	0.14718
cross	l5	nearestCentroid	0.68947	0.88481	0.57211	0.63519	0.08541	0.06409	0.10716	0.08098
cross	l5	adaboost	0.79036	0.76840	0.81658	0.68651	0.05881	0.07019	0.06726	0.08863
cross	l5	BernoulliNaiveBayes	0.79104	0.85114	0.74605	0.72024	0.07546	0.06177	0.11188	0.08693
cross	l5	DecisionTree	0.72759	0.73188	0.75395	0.63876	0.11271	0.05198	0.13894	0.10961
cross	l5	GradientBoosting	0.79628	0.77077	0.82632	0.69392	0.05029	0.06409	0.05461	0.07905
cross	l5	NeuralNetwork	0.82418	0.76786	0.89395	0.72751	0.05828	0.04314	0.09812	0.07869
cross	l5	randomForest	0.81880	0.75584	0.90342	0.71997	0.05366	0.04235	0.08028	0.09711
cross	l6	svm-rbf	0.84625	0.77030	0.93947	0.75291	0.04106	0.03798	0.05212	0.06698
cross	l6	sgd	0.58825	0.58148	0.70000	0.63439	0.40608	0.30693	0.48305	0.18888
cross	l6	nearestCentroid	0.69075	0.87718	0.57737	0.63532	0.10371	0.08655	0.12040	0.10158
cross	l6	adaboost	0.81528	0.78074	0.85684	0.71944	0.05520	0.06186	0.07263	0.08259
cross	l6	BernoulliNaiveBayes	0.71676	0.76303	0.70158	0.62791	0.13496	0.04184	0.20593	0.12090
cross	l6	DecisionTree	0.76521	0.78240	0.77158	0.67910	0.08788	0.07082	0.13103	0.11924
cross	l6	GradientBoosting	0.79360	0.77373	0.81684	0.68968	0.05992	0.07905	0.05249	0.09679
cross	l6	NeuralNetwork	0.83949	0.77388	0.91895	0.74537	0.04221	0.04527	0.05423	0.06863
cross	l6	randomForest	0.82736	0.78166	0.88816	0.74907	0.04973	0.04610	0.04525	0.05460
cross	l7	svm-rbf	0.84235	0.75500	0.95395	0.74167	0.02550	0.03178	0.03708	0.04287
cross	l7	sgd	0.66909	0.57513	0.60000	0.72328	0.35281	0.30356	0.51640	0.01867
cross	l7	nearestCentroid	0.66043	0.87246	0.54474	0.60569	0.10197	0.11394	0.12139	0.09701
cross	l7	adaboost	0.80832	0.78137	0.84211	0.71944	0.06262	0.04201	0.10474	0.07882
cross	l7	BernoulliNaiveBayes	0.78872	0.82163	0.76474	0.70489	0.04936	0.08307	0.06997	0.06700
cross	l7	DecisionTree	0.77458	0.78164	0.77974	0.67487	0.06492	0.06273	0.10961	0.08628
cross	l7	GradientBoosting	0.82154	0.78887	0.86211	0.73426	0.08004	0.06147	0.11762	0.10745
cross	l7	NeuralNetwork	0.83310	0.76412	0.91842	0.73426	0.04843	0.05375	0.06432	0.07586
cross	l7	randomForest	0.83033	0.77919	0.87158	0.72302	0.05293	0.04562	0.07837	0.04483
cross	l8	svm-rbf	0.83930	0.72328	1.00000	0.72328	0.01259	0.01867	0.00000	0.01867
cross	l8	sgd	0.66909	0.57884	0.80000	0.62698	0.35281	0.30552	0.42164	0.19449
cross	l8	nearestCentroid	0.63560	0.83620	0.51921	0.57566	0.07614	0.07912	0.09085	0.07010
cross	l8	adaboost	0.82314	0.78854	0.87132	0.73399	0.06137	0.06238	0.11291	0.07652
cross	l8	BernoulliNaiveBayes	0.75757	0.76227	0.75500	0.65331	0.06363	0.05091	0.08490	0.08489
cross	l8	DecisionTree	0.76070	0.77529	0.76000	0.68228	0.07854	0.05691	0.12186	0.09366
cross	l8	GradientBoosting	0.78542	0.77435	0.81447	0.68981	0.08428	0.06096	0.14677	0.09169
cross	l8	NeuralNetwork	0.82220	0.72690	0.94868	0.70476	0.03090	0.02926	0.05979	0.04290
cross	l8	randomForest	0.84248	0.76722	0.92289	0.74894	0.03913	0.04271	0.07459	0.06531
